code,type,count,description,Group,Larger group
01602,Diagnosis,1,"Tuberculosis of kidney, bacteriological or histological examination unknown (at present)",Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
74361,Diagnosis,1,Congenital ptosis,Congenital Anomalies,Congenital Anomalies
7797,Diagnosis,1,Periventricular leukomalacia,Certain Conditions Originating In The Perinatal Period,"Pregnancy, Childbirth & Perinatal"
9013,Diagnosis,1,Injury to innominate and subclavian veins,Injury And Poisoning,"Injury, Poisoning & External Causes"
E8139,Diagnosis,1,Motor vehicle traffic accident involving collision with other vehicle injuring unspecified person,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
E8739,Diagnosis,1,Unspecified failure in dosage,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
E8180,Diagnosis,1,Other noncollision motor vehicle traffic accident injuring driver of motor vehicle other than motorcycle,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
E8587,Diagnosis,1,"Accidental poisoning by agents primarily affecting skin and mucous membrane, ophthalmological, otorhinolaryngological, and dental drugs",External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
1630,Diagnosis,1,Malignant neoplasm of parietal pleura,Neoplasms,Neoplasms
04619,Diagnosis,1,Other and unspecified Creutzfeldt-Jakob disease,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
37007,Diagnosis,1,Mooren's ulcer,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
94255,Diagnosis,1,"Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of genitalia",Injury And Poisoning,"Injury, Poisoning & External Causes"
85252,Diagnosis,1,"Extradural hemorrhage following injury with open intracranial wound, with brief [less than one hour] loss of consciousness",Injury And Poisoning,"Injury, Poisoning & External Causes"
65231,Diagnosis,1,"Transverse or oblique presentation, delivered, with or without mention of antepartum condition","Complications Of Pregnancy, Childbirth, And The Puerperium","Pregnancy, Childbirth & Perinatal"
09810,Diagnosis,1,"Gonococcal infection (acute) of upper genitourinary tract, site unspecified",Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
75435,Diagnosis,1,Congenital dislocation of one hip with subluxation of other hip,Congenital Anomalies,Congenital Anomalies
74402,Diagnosis,1,Other anomalies of external ear with impairment of hearing,Congenital Anomalies,Congenital Anomalies
94431,Diagnosis,1,"Full-thickness skin loss [third degree, not otherwise specified] of single digit [finger (nail)] other than thumb",Injury And Poisoning,"Injury, Poisoning & External Causes"
7605,Diagnosis,1,Maternal injury affecting fetus or newborn,Certain Conditions Originating In The Perinatal Period,"Pregnancy, Childbirth & Perinatal"
7558,Diagnosis,1,Other specified anomalies of unspecified limb,Congenital Anomalies,Congenital Anomalies
E9673,Diagnosis,1,"Perpetrator of child and adult abuse, by spouse or partner",External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
67454,Diagnosis,1,"Peripartum cardiomyopathy, postpartum condition or complication","Complications Of Pregnancy, Childbirth, And The Puerperium","Pregnancy, Childbirth & Perinatal"
80454,Diagnosis,1,"Open fractures involving skull or face with other bones, without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Injury And Poisoning,"Injury, Poisoning & External Causes"
7479,Diagnosis,1,Unspecified anomaly of circulatory system,Congenital Anomalies,Congenital Anomalies
94842,Diagnosis,1,"Burn [any degree] involving 40-49 percent of body surface with third degree burn, 20-29%",Injury And Poisoning,"Injury, Poisoning & External Causes"
94454,Diagnosis,1,"Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of two or more digits of hand including thumb",Injury And Poisoning,"Injury, Poisoning & External Causes"
5069,Diagnosis,1,Unspecified respiratory conditions due to fumes and vapors,Diseases Of The Respiratory System,Diseases Of The Respiratory System
80365,Diagnosis,1,"Other open skull fracture with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level",Injury And Poisoning,"Injury, Poisoning & External Causes"
09882,Diagnosis,1,Gonococcal meningitis,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
64213,Diagnosis,1,"Hypertension secondary to renal disease, complicating pregnancy, childbirth, and the puerperium, antepartumcondition or complication","Complications Of Pregnancy, Childbirth, And The Puerperium","Pregnancy, Childbirth & Perinatal"
94424,Diagnosis,1,"Blisters, epidermal loss [second degree] of two or more digits of hand including thumb",Injury And Poisoning,"Injury, Poisoning & External Causes"
1225,Diagnosis,1,Echinococcus multilocularis infection of liver,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
01624,Diagnosis,1,"Tuberculosis of ureter, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
30284,Diagnosis,1,Sexual sadism,Mental Disorders,Mental Disorders
9891,Diagnosis,1,Toxic effect of strychnine and salts,Injury And Poisoning,"Injury, Poisoning & External Causes"
73038,Diagnosis,1,"Periostitis, without mention of osteomyelitis, other specified sites",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
E8250,Diagnosis,1,Other motor vehicle nontraffic accident of other and unspecified nature injuring driver of motor vehicle other than motorcycle,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
4957,Diagnosis,1,"""Ventilation"" pneumonitis",Diseases Of The Respiratory System,Diseases Of The Respiratory System
E9211,Diagnosis,1,Accident caused by explosion of gas cylinders,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
7438,Diagnosis,1,Other specified anomalies of eye,Congenital Anomalies,Congenital Anomalies
94514,Diagnosis,1,Erythema [first degree] of lower leg,Injury And Poisoning,"Injury, Poisoning & External Causes"
E9328,Diagnosis,1,Antithyroid agents causing adverse effects in therapeutic use,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
3649,Diagnosis,1,Unspecified disorder of iris and ciliary body,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
E8610,Diagnosis,1,Accidental poisoning by synthetic detergents and shampoos,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
31323,Diagnosis,1,Selective mutism,Mental Disorders,Mental Disorders
9876,Diagnosis,1,Toxic effect of chlorine gas,Injury And Poisoning,"Injury, Poisoning & External Causes"
30659,Diagnosis,1,Other genitourinary malfunction arising from mental factors,Mental Disorders,Mental Disorders
E8735,Diagnosis,1,Inappropriate [too hot or too cold] temperature in local application and packing,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
E9269,Diagnosis,1,Exposure to unspecified radiation,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
85100,Diagnosis,1,"Cortex (cerebral) contusion without mention of open intracranial wound, unspecified state of consciousness",Injury And Poisoning,"Injury, Poisoning & External Causes"
E9465,Diagnosis,1,Eye anti-infectives and other eye drugs causing adverse effects in therapeutic use,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
94301,Diagnosis,1,Burn of unspecified degree of forearm,Injury And Poisoning,"Injury, Poisoning & External Causes"
E9020,Diagnosis,1,Accident due to residence or prolonged visit at high altitude,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
E9010,Diagnosis,1,Accident due to excessive cold due to weather conditions,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
80601,Diagnosis,1,Closed fracture of C1-C4 level with complete lesion of cord,Injury And Poisoning,"Injury, Poisoning & External Causes"
64950,Diagnosis,1,"Spotting complicating pregnancy, unspecified as to episode of care or not applicable","Complications Of Pregnancy, Childbirth, And The Puerperium","Pregnancy, Childbirth & Perinatal"
30111,Diagnosis,1,Chronic hypomanic personality disorder,Mental Disorders,Mental Disorders
90222,Diagnosis,1,Injury to hepatic artery,Injury And Poisoning,"Injury, Poisoning & External Causes"
9402,Diagnosis,1,Alkaline chemical burn of cornea and conjunctival sac,Injury And Poisoning,"Injury, Poisoning & External Causes"
94875,Diagnosis,1,"Burn [any degree] involving 70-79 percent of body surface with third degree burn, 50-59%",Injury And Poisoning,"Injury, Poisoning & External Causes"
0300,Diagnosis,1,Lepromatous leprosy [type L],Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
9409,Diagnosis,1,Unspecified burn of eye and adnexa,Injury And Poisoning,"Injury, Poisoning & External Causes"
1255,Diagnosis,1,Mansonella ozzardi infection,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
80145,Diagnosis,1,"Closed fracture of base of skull with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level",Injury And Poisoning,"Injury, Poisoning & External Causes"
65173,Diagnosis,1,"Multiple gestation following (elective) fetal reduction, antepartum condition or complication","Complications Of Pregnancy, Childbirth, And The Puerperium","Pregnancy, Childbirth & Perinatal"
E9391,Diagnosis,1,Phenothiazine-based tranquilizers causing adverse effects in therapeutic use,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
E9059,Diagnosis,1,Poisoning and toxic reactions caused by unspecified animals and plants,External Causes of Injury (E-Codes),"Injury, Poisoning & External Causes"
94897,Diagnosis,1,"Burn [any degree] involving 90 percent or more of body surface with third degree burn, 70-79%",Injury And Poisoning,"Injury, Poisoning & External Causes"
80155,Diagnosis,1,"Open fracture of base of skull without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level",Injury And Poisoning,"Injury, Poisoning & External Causes"
94315,Diagnosis,1,Erythema [first degree] of shoulder,Injury And Poisoning,"Injury, Poisoning & External Causes"
37452,Diagnosis,1,Hyperpigmentation of eyelid,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
0211,Diagnosis,1,Enteric tularemia,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
V6102,Diagnosis,1,Family disruption due to return of family member from military deployment,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
37751,Diagnosis,1,Disorders of optic chiasm associated with pituitary neoplasms and disorders,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
92619,Diagnosis,1,Crushing injury of other specified sites of trunk,Injury And Poisoning,"Injury, Poisoning & External Causes"
1203,Diagnosis,1,Cutaneous schistosomiasis,Infectious And Parasitic Diseases,Infectious And Parasitic Diseases
86511,Diagnosis,1,"Injury to spleen with open wound into cavity, hematoma without rupture of capsule",Injury And Poisoning,"Injury, Poisoning & External Causes"
67801,Diagnosis,1,"Fetal hematologic conditions, delivered, with or without mention of antepartum condition","Complications Of Pregnancy, Childbirth, And The Puerperium","Pregnancy, Childbirth & Perinatal"
80050,Diagnosis,1,"Open fracture of vault of skull without mention of intracranial injury, unspecified state of consciousness",Injury And Poisoning,"Injury, Poisoning & External Causes"
73009,Diagnosis,1,"Acute osteomyelitis, multiple sites",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
86380,Diagnosis,1,"Injury to gastrointestinal tract, unspecified site, without mention of open wound into cavity",Injury And Poisoning,"Injury, Poisoning & External Causes"
80094,Diagnosis,1,"Open fracture of vault of skull with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Injury And Poisoning,"Injury, Poisoning & External Causes"
65111,Diagnosis,1,"Triplet pregnancy, delivered, with or without mention of antepartum condition","Complications Of Pregnancy, Childbirth, And The Puerperium","Pregnancy, Childbirth & Perinatal"
36311,Diagnosis,1,"Disseminated choroiditis and chorioretinitis, posterior pole",Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
32372,Diagnosis,1,Toxic myelitis,Diseases Of The Nervous System And Sense Organs,Diseases Of The Nervous System
86503,Diagnosis,1,"Injury to spleen without mention of open wound into cavity, laceration extending into parenchyma",Injury And Poisoning,"Injury, Poisoning & External Causes"
